	Course Name	Frequency	Mean Grade Value	SD
103	BME210	423	2.921315789473683	0.9208195015134341
148	CHE243	335	3.3793333333333346	0.7429307116840935
551	MTH164	329	2.9857677902621744	0.9627379455962891
552	MTH165	233	2.7834254143646406	1.1741433667976693
68	BIO111	221	2.753157894736842	1.0038368331734777
295	ECE210	204	3.2074468085106376	0.9247909851093343
533	ME226	192	3.1900621118012418	0.7564063862223878
69	BIO111L	148	3.764601769911503	0.5664615032283278
