Degree Major1 Discipline Code	Grade Value	frequency	SD
ENGN	2.852	25	0.8855883166949904
HUMS	2.75	4	1.8929694486000912
NATS	2.7035714285714287	28	0.9247550798303071
SOCS	1.9650000000000003	20	1.3421408664008252
