Degree Major1 Discipline Code	Grade Value	frequency	SD
ENGN	3.2172821270310203	677	1.1754187212591918
HUMS	2.537762237762236	143	1.4091154050542325
NATS	2.92274436090226	532	1.409327812710059
SOCS	2.460227272727275	528	1.5430721548276065
